"Analysis","Hypotheses","H1.B","H2.B","H3.B","H1.W","H2.W","H3.W","xi","order"
1,"H1, H2, H3",0.000894021915165855,0.000894021915165855,0.00119202922022121,0.00105226178546363,0.00105226178546363,0.00140301571395151,1.17699775320205,1
1,"H1, H2",0.00149003652527646,0.00149003652527646,NA,0.00169320016201123,0.00169320016201123,NA,1.13634809166646,2
1,"H1, H3",0.00127717416452267,NA,0.00170289888603026,0.00137970590480549,NA,0.00183960787307398,1.08028015530765,3
1,"H2, H3",NA,0.00127717416452267,0.00170289888603026,NA,0.00139897841426732,0.00186530455235642,1.09537011719162,4
1,"H1",0.00298007305055292,NA,NA,0.00298007305055292,NA,NA,0.999999999999998,5
1,"H2",NA,0.00298007305055292,NA,NA,0.00298007305055292,NA,0.999999999999998,6
1,"H3",NA,NA,0.00298007305055292,NA,NA,0.00298007305055292,0.999999999999998,7
2,"H1, H2, H3",0.0070254978580041,0.0070254978580041,0.00939981834827341,0.0092102072137337,0.0092102072137337,0.0122802762849783,1.30915245109578,1
2,"H1, H2",0.0117828003305537,0.0117828003305537,NA,0.0144342716856283,0.0144342716856283,NA,1.22502896431158,2
2,"H1, H3",0.0100798631109639,NA,0.0134893892528952,0.0116330386609531,NA,0.0155107182146041,1.1516596477697,3
2,"H2, H3",NA,0.0100798631109639,0.0134893892528952,NA,0.0118345801410589,0.0157794401880785,1.17161206061336,4
2,"H1",0.023788265678369,NA,NA,0.0237882658714609,NA,NA,1.00000000811711,5
2,"H2",NA,0.023788265678369,NA,NA,0.0237882658714609,NA,1.00000000811711,6
2,"H3",NA,NA,0.023788265678369,NA,NA,0.0237882658714609,1.00000000811711,7
