"Analysis","Hypotheses","H1.B","H2.B","H3.B","H1.W","H2.W","H3.W","xi","order"
1,"H1, H2, H3",0.000894021915165855,0.000894021915165855,0.00119202922022121,0.00105192804431389,0.00105192804431389,0.00140257072575186,1.17662445010503,1
1,"H1, H2",0.00149003652527646,0.00149003652527646,NA,0.00169320016201123,0.00169320016201123,NA,1.13634809166646,2
1,"H1, H3",0.000894021915165855,NA,0.00208605113538707,0.000957069949198464,NA,0.00223316321479641,1.07052179925689,3
1,"H2, H3",NA,0.000894021915165855,0.00208605113538707,NA,0.00096872171019052,0.00226035065711121,1.08355476947205,4
1,"H1",0.00298007305055292,NA,NA,0.00298007305055292,NA,NA,0.999999999999998,5
1,"H2",NA,0.00298007305055292,NA,NA,0.00298007305055292,NA,0.999999999999998,6
1,"H3",NA,NA,0.00298007305055292,NA,NA,0.00298007305055292,0.999999999999998,7
2,"H1, H2, H3",0.0070254978580041,0.0070254978580041,0.00939981834827341,0.00922875301954546,0.00922875301954546,0.0123050040260606,1.31178857931446,1
2,"H1, H2",0.0117828003305537,0.0117828003305537,NA,0.0144342716856283,0.0144342716856283,NA,1.22502896431158,2
2,"H1, H3",0.0070254978580041,NA,0.0165692640044749,0.00800425524359901,NA,0.0186765955683977,1.1307955116269,3
2,"H2, H3",NA,0.0070254978580041,0.0165692640044749,NA,0.0081192316640112,0.0189448738826928,1.14703872429169,4
2,"H1",0.023788265678369,NA,NA,0.0237882658714609,NA,NA,1.00000000811711,5
2,"H2",NA,0.023788265678369,NA,NA,0.0237882658714609,NA,1.00000000811711,6
2,"H3",NA,NA,0.023788265678369,NA,NA,0.0237882658714609,1.00000000811711,7
