"Analysis","Hypotheses","zH1.B","zH2.B","zH3.B","zH1.W","zH2.W","zH3.W"
1,"H1, H2, H3",3.1233509829104,3.1233509829104,3.03768142770535,3.07516573508051,3.07516573508051,2.98832167297146
1,"H1, H2",2.96978596179415,2.96978596179415,NA,2.93029529257384,2.93029529257384,NA
1,"H1, H3",3.1233509829104,NA,2.86484741150806,3.10324054619176,NA,2.84319835712965
1,"H2, H3",NA,3.1233509829104,2.86484741150806,NA,3.09965780050302,2.83933962451115
1,"H1",2.74996593183522,NA,NA,2.74996593183522,NA,NA
1,"H2",NA,2.74996593183522,NA,NA,2.74996593183522,NA
1,"H3",NA,NA,2.74996593183522,NA,NA,2.74996593183522
2,"H1, H2, H3",2.45595703077445,2.45595703077445,2.34948034361411,2.35631002370557,2.35631002370557,2.24746996409954
2,"H1, H2",2.2641384517189,2.2641384517189,NA,2.18527699125354,2.18527699125354,NA
2,"H1, H3",2.45595703077445,NA,2.13040091890044,2.40872146127735,NA,2.08188263669759
2,"H2, H3",NA,2.45595703077445,2.13040091890044,NA,2.40351134083868,2.07604544848242
2,"H1",1.98113147520398,NA,NA,1.98113147175944,NA,NA
2,"H2",NA,1.98113147520398,NA,NA,1.98113147175944,NA
2,"H3",NA,NA,1.98113147520398,NA,NA,1.98113147175944
