"Analysis","Hypotheses","zH1.B","zH2.B","zH3.B","zH1.W","zH2.W","zH3.W"
1,"H1, H2, H3",3.52109980941177,3.55266292139452,3.58206434809144,3.50923299676155,3.54088938198704,3.57037644549654
1,"H1, H2",3.31460445117456,3.34461863033399,NA,3.30725478534816,3.3373265160769,NA
1,"H1, H3",3.31460445117456,NA,3.37257569728907,3.30778964549979,NA,3.36586323924584
1,"H2, H3",NA,3.34461863033399,3.37257569728907,NA,3.33830707134288,3.36630986481056
1,"H1",2.93538486009967,NA,NA,2.93538486009967,NA,NA
1,"H2",NA,2.96258804272755,NA,NA,2.96258804272755,NA
1,"H3",NA,NA,2.98792379535748,NA,NA,2.98792379535748
2,"H1, H2, H3",2.39724692646898,2.39688748604844,2.39658599297105,2.34586368189148,2.34549800863338,2.34519128646218
2,"H1, H2",2.24622500134798,2.24574442942652,NA,2.21127083026129,2.21078436659356,NA
2,"H1, H3",2.24622500134798,NA,2.24533683980713,2.21288051446882,NA,2.21198196963764
2,"H2, H3",NA,2.24574442942652,2.24533683980713,NA,2.21388080646264,2.21346866566326
2,"H1",1.9693671630035,NA,NA,1.9693671630035,NA,NA
2,"H2",NA,1.96859552727648,NA,NA,1.96859552727648,NA
2,"H3",NA,NA,1.96792891936212,NA,NA,1.96792891936212
